country_code,country_name,year,indicator_code,indicator_name,value
DOM,Dominican Republic,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.478
CUB,Cuba,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",41.921
CRI,Costa Rica,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.283
COL,Colombia,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.922
CHL,Chile,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.025
BRA,Brazil,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.864
BOL,Bolivia,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",71.715
ARG,Argentina,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.868
VEN,"Venezuela, RB",2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",36.158
URY,Uruguay,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",56.518
PER,Peru,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",65.083
PRY,Paraguay,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",58.994
PAN,Panama,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.694
NIC,Nicaragua,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.728
MEX,Mexico,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",47.317
HND,Honduras,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",39.364
GTM,Guatemala,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",38.14
SLV,El Salvador,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.521
ECU,Ecuador,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.521
DOM,Dominican Republic,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.482
CUB,Cuba,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",41.159
CRI,Costa Rica,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",44.088
COL,Colombia,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.833
CHL,Chile,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.963
BRA,Brazil,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.205
BOL,Bolivia,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",72.455
ARG,Argentina,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.958
VEN,"Venezuela, RB",2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",37.332
URY,Uruguay,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",57.264
PER,Peru,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",64.939
PRY,Paraguay,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",58.944
PAN,Panama,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",54.832
NIC,Nicaragua,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.082
MEX,Mexico,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",47.414
HND,Honduras,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",39.617
GTM,Guatemala,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",38.42
SLV,El Salvador,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.957
ECU,Ecuador,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.394
DOM,Dominican Republic,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.266
CUB,Cuba,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",40.393
CRI,Costa Rica,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",45.982
COL,Colombia,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.719
CHL,Chile,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.784
BRA,Brazil,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.576
BOL,Bolivia,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",72.389
ARG,Argentina,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.281
VEN,"Venezuela, RB",2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",60.016
URY,Uruguay,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",68.6
PER,Peru,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",78.185
PRY,Paraguay,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",83.201
PAN,Panama,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.026
NIC,Nicaragua,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",81.622
MEX,Mexico,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",72.492
HND,Honduras,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.951
GTM,Guatemala,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",79.985
SLV,El Salvador,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",72.083
ECU,Ecuador,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",72.05
DOM,Dominican Republic,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.67
CUB,Cuba,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",63.189
CRI,Costa Rica,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.073
COL,Colombia,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.251
CHL,Chile,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",67.516
BRA,Brazil,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.101
BOL,Bolivia,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",79.507
ARG,Argentina,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",65.925
VEN,"Venezuela, RB",2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",60.412
URY,Uruguay,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",70.359
PER,Peru,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",79.192
PRY,Paraguay,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",84.076
PAN,Panama,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.929
NIC,Nicaragua,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",82.45
MEX,Mexico,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.673
HND,Honduras,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.311
GTM,Guatemala,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",84.163
SLV,El Salvador,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",75.477
ECU,Ecuador,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.993
DOM,Dominican Republic,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",75.633
CUB,Cuba,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",63.552
CRI,Costa Rica,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.732
COL,Colombia,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.539
CHL,Chile,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",68.773
BRA,Brazil,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",72.914
BOL,Bolivia,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",84.557
ARG,Argentina,2021,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",70.836
VEN,"Venezuela, RB",2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",67.23
URY,Uruguay,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.383
PER,Peru,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",82.42
PRY,Paraguay,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",82.277
PAN,Panama,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",80.73
NIC,Nicaragua,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",82.096
MEX,Mexico,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.314
HND,Honduras,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.68
GTM,Guatemala,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",80.746
SLV,El Salvador,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.477
ECU,Ecuador,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.67
DOM,Dominican Republic,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.342
CUB,Cuba,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",65.908
CRI,Costa Rica,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.144
COL,Colombia,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",75.936
CHL,Chile,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",70.482
BRA,Brazil,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.67
BOL,Bolivia,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",84.873
ARG,Argentina,2022,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.453
VEN,"Venezuela, RB",2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",67.349
URY,Uruguay,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.371
PER,Peru,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",80.483
PRY,Paraguay,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",82.624
PAN,Panama,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.802
NIC,Nicaragua,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",81.974
MEX,Mexico,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.551
HND,Honduras,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.622
GTM,Guatemala,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",81.859
SLV,El Salvador,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.751
ECU,Ecuador,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.715
DOM,Dominican Republic,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.433
CUB,Cuba,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",65.688
CRI,Costa Rica,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",70.082
COL,Colombia,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.171
CHL,Chile,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.298
BRA,Brazil,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.116
BOL,Bolivia,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",84.357
ARG,Argentina,2023,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.944
VEN,"Venezuela, RB",2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",67.524
URY,Uruguay,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.458
PER,Peru,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",80.88
PRY,Paraguay,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",81.715
PAN,Panama,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.999
NIC,Nicaragua,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",81.873
MEX,Mexico,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.215
HND,Honduras,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.589
GTM,Guatemala,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",81.799
SLV,El Salvador,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.995
ECU,Ecuador,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.948
DOM,Dominican Republic,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",76.371
CUB,Cuba,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",65.418
CRI,Costa Rica,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",69.857
COL,Colombia,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",75.862
CHL,Chile,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",72.019
BRA,Brazil,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",73.602
BOL,Bolivia,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",84.324
ARG,Argentina,2024,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.769
VEN,"Venezuela, RB",2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",7.907
