"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023","0.3","0.5"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","11.3","11.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Administración pública y servicios y actividades comunales y sociales","2023","10.9","7.3"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Total","2023","14.6","15.8"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Agricultura","2023","0.2","0.3"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Manufacturas","2023","0.7","1.3"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Construcción","2023","0.1","3"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023","0.2","0.6"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","8.7","7.4"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2023","4.6","3.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Total","2023","13.8","13.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Agricultura","2023",,
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Manufacturas","2023","0.4","0.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Construcción","2023",,"0.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023","0.1","0.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","4.6","4.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2023","8.6","7.5"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Total","2022","3858.2","5332.1"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Agricultura","2022","163.2","507.3"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Manufacturas","2022","273.1","585.8"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Construcción","2022","65.5","742.5"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2022","54.7","327.3"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2022","1602.1","2247.7"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Administración pública y servicios y actividades comunales y sociales","2022","1695.7","915.2"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Total","Sin clasificar","2022","3.7","6.2"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Total","2022","362.8","648.4"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Agricultura","2022","35.2","130.5"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Manufacturas","2022","28.6","65.5"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Construcción","2022","4.8","122"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2022","5.9","36.4"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2022","153.5","211.5"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Administración pública y servicios y actividades comunales y sociales","2022","134","81.8"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Poco educado","Sin clasificar","2022",,"0.6"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Total","2022","2338.5","3126.2"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Agricultura","2022","92.4","287.8"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Manufacturas","2022","147.6","325"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Construcción","2022","42.3","450.3"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2022","36.9","190.1"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2022","917.8","1297.8"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Administración pública y servicios y actividades comunales y sociales","2022","1099.6","571.9"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Emparejado","Sin clasificar","2022","1.8","3.3"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Total","2022","1060.8","1483.3"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Agricultura","2022","34.1","81.9"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Manufacturas","2022","95.9","188.8"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Construcción","2022","17.7","162.1"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2022","11.8","97.4"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2022","521.4","718.5"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2022","379.6","234.2"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","Sobre educado","Sin clasificar","2022",,
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Total","2022","96.1","74.2"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Agricultura","2022","1.4","7.1"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Manufacturas","2022","1","6.5"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Construcción","2022",,"8"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2022",,"3.4"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2022","9.4","19.9"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2022","82.5","27.4"
"Chile","EH - Encuesta de Caracterización Socioeconómica Nacional","No clasificado en otra parte","Sin clasificar","2022","1.1","1.9"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Total","2025","9892.9","13934.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Agricultura","2025","576.9","2809.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Manufacturas","2025","1093","1516.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Construcción","2025","110.3","1494.4"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","120.6","496.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","4821.8","5913"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Administración pública y servicios y actividades comunales y sociales","2025","3170.4","1704.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","Sin clasificar","2025",,"0.9"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Poco educado","Total","2025","2787.2","4702.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Poco educado","Agricultura","2025","186.3","1125.9"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Poco educado","Manufacturas","2025","324","444.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Poco educado","Construcción","2025","14.5","770.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","46.2","224.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","1352","1811.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Poco educado","Administración pública y servicios y actividades comunales y sociales","2025","864.2","326.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Total","2025","4563.6","6288.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Agricultura","2025","183.2","964.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Manufacturas","2025","550.2","781.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Construcción","2025","53.6","592"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","44.8","186.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","2257.7","2971.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Administración pública y servicios y actividades comunales y sociales","2025","1474.1","792.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Emparejado","Sin clasificar","2025",,
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Total","2025","2539.6","2926"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Agricultura","2025","207.4","718.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Manufacturas","2025","218.8","290.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Construcción","2025","42.1","131.9"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","29.6","85.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","1211.8","1130.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2025","829.9","568.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Sobre educado","Sin clasificar","2025",,
"Colombia","EFT - Gran Encuesta Integrada de Hogares","No clasificado en otra parte","Total","2025","2.5","17.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","No clasificado en otra parte","Manufacturas","2025",,
"Colombia","EFT - Gran Encuesta Integrada de Hogares","No clasificado en otra parte","Construcción","2025",,
"Colombia","EFT - Gran Encuesta Integrada de Hogares","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025",,
"Colombia","EFT - Gran Encuesta Integrada de Hogares","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025",,
"Colombia","EFT - Gran Encuesta Integrada de Hogares","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2025","2.2","16.7"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","No clasificado en otra parte","Sin clasificar","2025",,
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Total","2025","870.5","1359.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Agricultura","2025","45.5","195.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Manufacturas","2025","81","161.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Construcción","2025","6.5","134.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","6.4","34.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","344.6","593.6"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Administración pública y servicios y actividades comunales y sociales","2025","384.9","238"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","Sin clasificar","2025","1.5","2.7"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Total","2025","184.6","273.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Agricultura","2025","4.8","40.6"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Manufacturas","2025","18.9","35.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Construcción","2025","1.1","29.1"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025",,"5.6"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","93.9","126.1"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Administración pública y servicios y actividades comunales y sociales","2025","65.6","37.1"
"Costa Rica","EFT - Encuesta Continua de Empleo","Poco educado","Sin clasificar","2025",,
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Total","2025","440.5","640.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Agricultura","2025","11.2","85.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Manufacturas","2025","34.2","73.3"
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Construcción","2025","4.2","58"
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","4.7","20.3"
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","173.6","284.3"
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Administración pública y servicios y actividades comunales y sociales","2025","212","117.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","Emparejado","Sin clasificar","2025",,"1.3"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Total","2025","226.1","420.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Agricultura","2025","11.1","45.7"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Manufacturas","2025","27.9","52.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Construcción","2025","1.3","47.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","1.5","8.7"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","77","182.8"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2025","107.2","83.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","Sobre educado","Sin clasificar","2025",,
"Costa Rica","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Total","2025","19.2","24.6"
"Costa Rica","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Agricultura","2025","18.5","23.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Construcción","2025",,
"Costa Rica","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025",,
"Costa Rica","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2025",,
"Costa Rica","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Sin clasificar","2025",,
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","Total","2025","2180.8","2959.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","Agricultura","2025","21","317.9"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","Manufacturas","2025","164.9","334.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","Construcción","2025","11.5","418"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","10","31.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","874.6","1360.3"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","Administración pública y servicios y actividades comunales y sociales","2025","1098.8","497"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Poco educado","Total","2025","405.9","623.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Poco educado","Agricultura","2025","5.8","50.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Poco educado","Manufacturas","2025","21.1","59"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Poco educado","Construcción","2025","2.3","44.3"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025",,"6.4"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","221.2","363.4"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Poco educado","Administración pública y servicios y actividades comunales y sociales","2025","155.3","100.3"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Emparejado","Total","2025","686","765.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Emparejado","Agricultura","2025","7.2","115.6"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Emparejado","Manufacturas","2025","41.2","76.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Emparejado","Construcción","2025","6.3","114.6"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","3.6","9.2"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","226.8","322.4"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Emparejado","Administración pública y servicios y actividades comunales y sociales","2025","401","127.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Sobre educado","Total","2025","410.1","605.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Sobre educado","Agricultura","2025","5","110.4"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Sobre educado","Manufacturas","2025","32.1","59.2"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Sobre educado","Construcción","2025","1.7","160.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","2.3","9"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","136.3","184"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2025","232.7","82.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","No clasificado en otra parte","Total","2025","678.8","965.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","No clasificado en otra parte","Agricultura","2025","3","41.9"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","No clasificado en otra parte","Manufacturas","2025","70.4","140.3"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","No clasificado en otra parte","Construcción","2025","1.4","99"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","3.9","6.8"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","290.3","490.4"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2025","309.8","187.1"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Total","Total","2025","3414.5","4915.1"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Total","Agricultura","2025","991.8","1701.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Total","Manufacturas","2025","304.5","517"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Total","Construcción","2025","13.7","501.7"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","14.4","78.2"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","1341.6","1629.7"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Total","Administración pública y servicios y actividades comunales y sociales","2025","748.6","487"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Poco educado","Total","2025","1093.7","1332.4"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Poco educado","Agricultura","2025","281.7","338.3"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Poco educado","Manufacturas","2025","119.4","176.2"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Poco educado","Construcción","2025","2.4","167.4"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","5.1","25.6"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","476.7","525.4"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Poco educado","Administración pública y servicios y actividades comunales y sociales","2025","208.4","99.4"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Emparejado","Total","2025","1548.8","2311.6"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Emparejado","Agricultura","2025","372.3","703.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Emparejado","Manufacturas","2025","141.9","258.2"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Emparejado","Construcción","2025","8.3","222.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","6.2","39"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","639.6","842.1"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Emparejado","Administración pública y servicios y actividades comunales y sociales","2025","380.5","246.3"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Sobre educado","Total","2025","768.2","1239.4"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Sobre educado","Agricultura","2025","336.9","658.8"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Sobre educado","Manufacturas","2025","43.3","82.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Sobre educado","Construcción","2025","3","111.8"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","3.1","13.6"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","225.2","262.2"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2025","156.8","110.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","No clasificado en otra parte","Total","2025","3.8","31.7"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","No clasificado en otra parte","Agricultura","2025","0.9","0.9"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025",,
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2025","2.9","30.8"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Total","Total","2023","23.1","29.2"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Total","Agricultura","2023","0.5","3.3"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Total","Manufacturas","2023","0.6","1.5"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Total","Construcción","2023","0.2","4.3"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023",,"0.5"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","6.9","7.8"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Total","Administración pública y servicios y actividades comunales y sociales","2023","14.8","11.9"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Total","2023","3.2","3"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Agricultura","2023",,"0.1"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Manufacturas","2023","0.2","0.3"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Construcción","2023","0","0.4"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023",,"0.1"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","1.2","1.6"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Administración pública y servicios y actividades comunales y sociales","2023","1.8","0.5"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Total","2023","6.1","8.9"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Agricultura","2023","0.3","1.9"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Manufacturas","2023","0.2","0.6"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Construcción","2023","0.1","1.8"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2023",,"0.1"
"Granada","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2023","2.9","2.9"
