"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2019",,"1.3"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2019","5.7","7.8"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Poco educado","Administración pública y servicios y actividades comunales y sociales","2019","7.9","4.7"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Total","2019","66.5","66.2"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Agricultura","2019",,"1.1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Manufacturas","2019","1","2.4"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Construcción","2019","0.2","10"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2019","1","2.7"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2019","38.3","36.8"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Administración pública y servicios y actividades comunales y sociales","2019","25.8","13.1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Emparejado","Sin clasificar","2019",,
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Total","2019","19.5","23.1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Agricultura","2019",,
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Manufacturas","2019","0.6","1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Construcción","2019","0.2","3.5"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2019",,"0.7"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2019","10.9","12.5"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2019","7.4","5.1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Sobre educado","Sin clasificar","2019",,
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","No clasificado en otra parte","Total","2019","1.4","1.6"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","No clasificado en otra parte","Agricultura","2019",,"0.2"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","No clasificado en otra parte","Construcción","2019",,
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2019",,
