"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2020","21","50"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2020","35","40"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","F. Construcción","2020","18","30"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2020","40","40"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","H. Transporte y almacenamiento","2020","32","32"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","J. Información y comunicaciones","2020","40","45"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","K. Actividades financieras y de seguros","2020","40","40"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","L. Actividades inmobiliarias","2020","40","45"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","M. Actividades profesionales, científicas y técnicas","2020","40","45"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","N. Actividades de servicios administrativos y de apoyo","2020","40","15"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2020","40","40"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","P. Enseñanza","2020","40","40"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Q. Actividades de atención de la salud humana y de asistencia social","2020","40","40"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","R. Actividades artísticas, de entretenimiento y recreativas","2020","32","36"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","S. Otras actividades de servicios","2020","22","24"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2020","24","14"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","U. Actividades de organizaciones y órganos extraterritoriales","2020","40","42"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","A. Agricultura; ganadería; silvicultura y pesca","2024","33.5","41.1"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","B. Explotación de minas y canteras","2024","35.9","43.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","C. Industrias manufactureras","2024","30.4","41"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2024","30.5","42.3"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2024","39.7","42.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","F. Construcción","2024","38.4","44.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2024","38.7","40.1"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","H. Transporte y almacenamiento","2024","40.3","49.3"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","J. Información y comunicaciones","2024","35.6","38"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","K. Actividades financieras y de seguros","2024","40.1","40.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","L. Actividades inmobiliarias","2024","17","29"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","M. Actividades profesionales, científicas y técnicas","2024","30.4","33"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","N. Actividades de servicios administrativos y de apoyo","2024","25.8","39.9"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2024","39.2","41.8"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","P. Enseñanza","2024","25.9","27.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Q. Actividades de atención de la salud humana y de asistencia social","2024","35.1","38.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","R. Actividades artísticas, de entretenimiento y recreativas","2024","23.6","23.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","S. Otras actividades de servicios","2024","26.7","36.1"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2024","36","40"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","U. Actividades de organizaciones y órganos extraterritoriales","2024","37.7","40"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","X. No clasificados en otra parte","2024","26.9","42.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","A. Agricultura; ganadería; silvicultura y pesca","2025","34.3","38.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","B. Explotación de minas y canteras","2025","40.7","42.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","C. Industrias manufactureras","2025","38","41.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","39.8","41.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","39.6","41.2"
