"Área de referencia","Fuente","Tipo de hogar","Presencia de niños menores de 6 años","Año","Mujeres","Hombres"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Total","Presencia de niños menores de 6 años: No","2018","40.3","41.8"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Presencia de niños menores de 6 años: Total","2018","39","43.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Presencia de niños menores de 6 años: No","2018","39","43.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Presencia de niños menores de 6 años: Total","2018","39.2","40.5"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Presencia de niños menores de 6 años: No","2018","39.2","40.5"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Presencia de niños menores de 6 años: Total","2018","40.6","41.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Presencia de niños menores de 6 años: Si","2018","40.2","41.9"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Presencia de niños menores de 6 años: No","2018","40.7","41.6"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Presencia de niños menores de 6 años: Total","2018","41.8","40.1"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Presencia de niños menores de 6 años: Si","2018","35.5","43.2"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Presencia de niños menores de 6 años: No","2018","42.9","39.2"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Presencia de niños menores de 6 años: Total","2018","39.2","41.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Presencia de niños menores de 6 años: Si","2018","39.1","42.9"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Presencia de niños menores de 6 años: No","2018","39.3","41.4"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: Total","2018","40","41.9"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 0","2018","40.3","41.8"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 1","2018","38.9","42.3"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 2","2018","39","42.5"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 3+","2018",,
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Número de niños menores de 6 años: Total","2018","39","43.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Número de niños menores de 6 años: 0","2018","39","43.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Número de niños menores de 6 años: Total","2018","39.2","40.5"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Número de niños menores de 6 años: 0","2018","39.2","40.5"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: Total","2018","40.6","41.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 0","2018","40.7","41.6"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 1","2018","41.4","42.6"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 2","2018","34.6","40.5"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 3+","2018",,
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Número de niños menores de 6 años: Total","2018","41.8","40.1"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Número de niños menores de 6 años: 0","2018","42.9","39.2"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Número de niños menores de 6 años: 1","2018","35.5","43.2"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: Total","2018","39.2","41.7"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 0","2018","39.3","41.4"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 1","2018","38.1","41.1"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 2","2018","40.5","44.2"
"Antigua y Barbuda","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 3+","2018",,
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Presencia de niños menores de 6 años: Total","2017","39.8","46.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Presencia de niños menores de 6 años: Si","2017","38.1","47"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Presencia de niños menores de 6 años: No","2017","40.7","46.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Presencia de niños menores de 6 años: Total","2017","39.3","44.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Presencia de niños menores de 6 años: No","2017","39.3","44.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Presencia de niños menores de 6 años: Total","2017","42.4","48.6"
