"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2019","13.1","15.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","H. Transporte y almacenamiento","2019","1","4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","K. Actividades financieras y de seguros","2019","2.1","1.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","L. Actividades inmobiliarias","2019","3.5","4.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","N. Actividades de servicios administrativos y de apoyo","2019","12.6","14.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2019","7.1","9.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Q. Actividades de atención de la salud humana y de asistencia social","2019","15.4","6.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","X. No clasificados en otra parte","2019","0.3","0.7"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","2024","3258.3","3564.3"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","A. Agricultura; ganadería; silvicultura y pesca","2024","763.5","818.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","B. Explotación de minas y canteras","2024","8.6","90"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","C. Industrias manufactureras","2024","414.7","436.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2024","6.1","8.8"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2024","1.4","6.7"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","F. Construcción","2024","18.2","474.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2024","751.2","510"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","H. Transporte y almacenamiento","2024","25.6","449.3"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","I. Actividades de alojamiento y de servicio de comidas","2024","462.7","134.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","J. Información y comunicaciones","2024","8.1","28"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","K. Actividades financieras y de seguros","2024","22.7","27.7"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","L. Actividades inmobiliarias","2024","16","16.9"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","M. Actividades profesionales, científicas y técnicas","2024","56.4","74.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","N. Actividades de servicios administrativos y de apoyo","2024","72.4","70.8"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2024","51.3","97.9"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","P. Enseñanza","2024","175.7","123.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Q. Actividades de atención de la salud humana y de asistencia social","2024","144.8","63.1"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","R. Actividades artísticas, de entretenimiento y recreativas","2024","13.3","43.1"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","S. Otras actividades de servicios","2024","111.6","72.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2024","133","4.8"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","U. Actividades de organizaciones y órganos extraterritoriales","2024","0.4","0.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","X. No clasificados en otra parte","2024","0.7","12.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","2025","44449.8","58004.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","A. Agricultura; ganadería; silvicultura y pesca","2025","1421.5","6282.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","B. Explotación de minas y canteras","2025","101.3","494.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","C. Industrias manufactureras","2025","4149.3","7718.6"
